,Import Length,No. SNPs
0,51,6
1,39,5
2,39,5
3,137,8
4,23,5
5,23,7
6,930,12
7,292,6
8,29,4
9,38,5
10,60,7
11,15,5
12,27,8
13,54,6
14,6,4
15,54,6
16,54,6
17,15,4
18,33,8
19,5,5
20,48,5
21,54,5
22,25,5
23,60,5
24,8,5
25,30,5
26,60,7
27,76,5
28,355,7
29,355,7
30,27,5
31,54,5
32,549,6
33,27,5
34,60,7
35,137,10
36,33,5
37,60,5
38,576,6
39,712,6
40,576,6
41,45,4
42,60,5
43,60,5
44,112,4
45,2103,6
46,129,7
47,18,4
48,66,12
49,85,6
50,46,11
51,94,7
52,127,6
53,94,6
54,61,9
55,61,9
56,60,8
57,20,5
58,62,10
59,44,12
60,114,7
61,22,6
62,2071,6
63,24,8
64,62,10
65,68,14
66,142,5
67,95,6
68,15,5
69,30,5
70,30,5
71,44,12
72,70,5
73,83,5
74,107,7
75,108,7
76,9,5
77,454,5
78,20,5
79,70,5
80,24,8
81,45,8
82,62,9
83,45,8
84,54,5
85,24,8
86,54,5
87,930,9
88,46,6
89,3148,6
90,30,5
91,25,8
92,23,7
93,60,5
94,30,5
95,2563,5
96,2563,5
97,23,5
98,43,6
99,93,6
100,18,5
101,12,4
102,62,13
103,23,7
104,142,8
105,108,5
106,90,5
107,20,5
108,225,5
109,225,5
110,102,7
111,111,6
112,62,14
113,70,5
114,44,12
115,21,5
116,30,5
117,23,6
118,31,5
119,94,5
120,21,8
121,88,6
122,62,13
123,45,6
124,44,11
125,44,12
126,62,13
127,94,7
128,98,7
129,44,12
130,62,10
131,23,5
132,42,5
133,507,15
134,142,8
135,141,7
136,743,7
137,15,4
138,142,5
139,51,8
140,78,5
141,78,5
142,54,5
143,41,11
144,38,10
145,38,10
146,130,9
147,22,6
148,9389,12
149,5621,8
150,61,9
151,56,5
152,114,9
153,56,5
154,114,5
155,15,8
156,23,7
157,62,10
158,23,7
159,30,5
160,62,14
161,9,4
162,24,4
163,33,5
164,114,9
165,1614,7
166,23,6
167,23,5
168,114,9
169,46,6
170,62,14
171,1665,6
172,43,7
173,43,7
174,44,12
175,114,9
176,20,6
177,12,5
178,16,6
179,95,6
180,910,11
181,817,6
182,114,7
183,140,4
184,56,5
185,61,9
186,3861,7
187,172,6
188,138,5
189,86,18
190,165,6
191,22,6
192,910,11
193,6,4
194,104,20
195,220,8
196,54,5
197,12,4
198,229,5
199,13,4
200,48,5
201,103,7
202,54,5
203,30,5
204,22,6
205,2735,8
206,22,6
207,2654,8
208,54,5
209,265,5
210,751,6
211,44,11
212,46,9
213,244,6
214,620,5
215,114,5
216,750,6
217,205,5
218,46,9
219,750,6
220,14,5
221,144,7
222,51,8
223,5934,7
224,242,4
225,42,5
226,167,9
227,20,6
228,183,5
229,167,8
230,9,4
231,46,11
232,144,8
233,43,9
234,23,7
235,133,5
236,20,6
237,271,12
238,170,9
239,248,6
240,265,5
241,62,14
242,9,4
243,59,13
244,8,4
245,271,7
246,31,7
247,21,5
248,23,5
249,248,6
250,142,6
251,30,13
252,178,13
253,29,4
254,849,5
255,142,6
256,59,13
257,56,5
258,142,5
259,21,5
260,39,6
261,142,5
262,142,5
263,15,5
264,2169,5
265,25,7
266,33,7
267,22,7
268,405,8
269,62,9
270,248,6
271,46,9
272,43,7
273,8964,7
274,248,5
275,25,7
276,405,8
277,248,6
278,12,5
279,14,5
280,20,4
281,62,13
282,36,9
283,16,8
284,44,11
285,336,6
286,304,6
287,171,14
288,18,5
289,17,5
290,5409,10
291,184,5
292,59,7
293,29,6
294,83,7
295,5409,10
296,3199,7
297,2612,5
298,1845,5
299,76,4
300,59,5
301,59,7
302,8,6
303,59,7
304,8,6
305,45,5
306,84,10
307,2606,5
308,12,7
309,5339,7
310,5237,6
311,5858,9
312,7,6
313,7,6
314,8,7
315,112,15
316,25,6
317,598,7
318,112,15
319,25,6
320,5074,6
321,8,5
322,655,5
323,1758,18
324,98,5
325,930,5
326,83,6
327,39,4
328,83,5
329,2961,6
330,59,7
331,76,6
332,59,7
333,927,5
334,54,6
335,83,8
336,98,5
337,59,5
338,84,9
339,60,8
340,7,6
341,9,5
